Ticket_ID,Region,Outage_ID,Opened_Time,Resolution_Time_Minutes,Closed_Time,Customer_Satisfaction_Score,Channel
1,Rural North,3039,2024-02-29 03:31:00,45,2024-02-29 04:16:00,5,Mobile App
2,Birmingham,1331,2023-05-09 08:34:00,34,2023-05-09 09:08:00,2,Mobile App
3,Montgomery,453,2023-03-03 07:04:00,24,2023-03-03 07:28:00,4,Mobile App
4,Rural South,1530,2024-09-28 00:34:00,41,2024-09-28 01:15:00,5,Website
5,Birmingham,2287,2024-09-14 19:08:00,1,2024-09-14 19:09:00,3,Call
6,Birmingham,4517,2024-04-23 03:58:00,86,2024-04-23 05:24:00,4,Call
7,Rural South,4121,2024-01-28 15:59:00,171,2024-01-28 18:50:00,2,Website
8,Mobile,1991,2023-06-27 06:44:00,41,2023-06-27 07:25:00,3,Mobile App
9,Montgomery,1405,2023-10-22 11:52:00,101,2023-10-22 13:33:00,1,Mobile App
10,Rural South,4117,2024-08-02 11:51:00,107,2024-08-02 13:38:00,5,Website
11,Montgomery,586,2024-12-19 13:48:00,22,2024-12-19 14:10:00,5,Call
12,Rural South,1050,2024-02-15 21:13:00,94,2024-02-15 22:47:00,2,Mobile App
13,Montgomery,3828,2023-04-16 06:25:00,9,2023-04-16 06:34:00,5,Website
14,Rural South,1390,2024-07-25 18:56:00,91,2024-07-25 20:27:00,3,Website
15,Rural North,1157,2023-06-11 20:10:00,612,2023-06-12 06:22:00,2,Website
16,Rural North,3127,2023-04-12 20:22:00,61,2023-04-12 21:23:00,3,Mobile App
17,Rural North,4045,2023-11-08 06:40:00,45,2023-11-08 07:25:00,5,Website
18,Rural South,893,2023-10-07 23:39:00,27,2023-10-08 00:06:00,3,In-person
19,Rural South,485,2023-07-09 06:25:00,191,2023-07-09 09:36:00,1,Call
20,Birmingham,3107,2024-12-09 09:08:00,73,2024-12-09 10:21:00,1,Mobile App
21,Montgomery,1188,2023-09-28 14:10:00,190,2023-09-28 17:20:00,3,Website
22,Birmingham,423,2024-02-09 07:01:00,297,2024-02-09 11:58:00,4,Mobile App
23,Montgomery,2422,2023-08-27 17:29:00,240,2023-08-27 21:29:00,5,Mobile App
24,Rural South,717,2024-11-08 04:45:00,229,2024-11-08 08:34:00,3,In-person
25,Birmingham,1363,2023-05-13 13:26:00,29,2023-05-13 13:55:00,4,Website
26,Montgomery,3402,2023-09-15 20:04:00,94,2023-09-15 21:38:00,2,In-person
27,Birmingham,1741,2023-08-02 04:33:00,110,2023-08-02 06:23:00,5,Call
28,Rural North,3651,2023-12-31 09:09:00,21,2023-12-31 09:30:00,3,Call
29,Huntsville,4755,2024-10-23 22:30:00,164,2024-10-24 01:14:00,4,In-person
30,Mobile,225,2023-04-14 18:21:00,6,2023-04-14 18:27:00,3,In-person
31,Huntsville,2662,2024-09-21 02:13:00,158,2024-09-21 04:51:00,4,Call
32,Rural North,2708,2024-10-30 10:07:00,37,2024-10-30 10:44:00,5,Website
33,Montgomery,4763,2024-10-30 16:22:00,18,2024-10-30 16:40:00,1,Website
34,Montgomery,2401,2023-06-03 18:14:00,24,2023-06-03 18:38:00,2,Mobile App
35,Birmingham,1225,2023-06-06 15:07:00,67,2023-06-06 16:14:00,3,Call
36,Rural South,1242,2024-06-26 11:22:00,72,2024-06-26 12:34:00,3,Mobile App
37,Rural South,4724,2023-07-07 11:08:00,77,2023-07-07 12:25:00,3,In-person
38,Rural North,4827,2024-06-22 03:27:00,76,2024-06-22 04:43:00,5,In-person
39,Huntsville,867,2023-01-02 15:35:00,136,2023-01-02 17:51:00,3,In-person
40,Birmingham,2286,2023-02-08 23:57:00,19,2023-02-09 00:16:00,2,In-person
41,Huntsville,2511,2023-09-01 02:05:00,57,2023-09-01 03:02:00,2,Mobile App
42,Mobile,304,2024-01-12 15:06:00,46,2024-01-12 15:52:00,4,Call
43,Montgomery,3382,2023-07-01 11:59:00,14,2023-07-01 12:13:00,2,Mobile App
44,Montgomery,3122,2023-03-04 14:21:00,346,2023-03-04 20:07:00,5,Call
45,Montgomery,4360,2023-04-24 14:51:00,15,2023-04-24 15:06:00,4,Mobile App
46,Montgomery,1473,2023-03-28 02:47:00,535,2023-03-28 11:42:00,4,In-person
47,Montgomery,362,2023-07-05 14:29:00,35,2023-07-05 15:04:00,1,Website
48,Mobile,4539,2024-04-06 04:07:00,54,2024-04-06 05:01:00,5,Website
49,Huntsville,2396,2024-09-24 01:19:00,316,2024-09-24 06:35:00,5,Call
