Outage_ID,Region,Start_Time,Duration_Hours,End_Time,Cause,Customers_Affected,Weather_Condition
1,Huntsville,2024-12-16 05:16:00,1.71,2024-12-16 06:58:36.000000000,Maintenance,573,Clear
2,Rural North,2023-07-04 02:02:00,1.28,2023-07-04 03:18:48.000000000,Equipment Failure,4019,Clear
3,Mobile,2023-10-19 22:23:00,0.06,2023-10-19 22:26:36.000000000,Other,4898,Heavy Rain
4,Rural North,2023-12-01 13:18:00,5.23,2023-12-01 18:31:48.000000000,Wildlife,1032,Heavy Rain
5,Rural North,2023-04-26 07:36:00,0.46,2023-04-26 08:03:36.000000000,Maintenance,1200,Heavy Rain
6,Montgomery,2023-02-18 08:41:00,1.11,2023-02-18 09:47:36.000000000,Weather,3220,Storm
7,Mobile,2024-11-15 08:39:00,2.53,2024-11-15 11:10:48.000000000,Weather,1914,Clear
8,Mobile,2023-03-23 15:16:00,0.85,2023-03-23 16:07:00.000000000,Equipment Failure,2046,Ice
9,Mobile,2023-11-29 11:56:00,2.06,2023-11-29 13:59:36.000000000,Equipment Failure,1036,Storm
10,Rural North,2024-07-10 05:14:00,4.97,2024-07-10 10:12:12.000000000,Weather,265,Storm
11,Huntsville,2023-12-01 11:48:00,1.91,2023-12-01 13:42:36.000000000,Weather,2428,Heatwave
12,Mobile,2024-06-15 11:49:00,8.93,2024-06-15 20:44:48.000000000,Equipment Failure,2573,Clear
13,Rural South,2023-08-09 17:23:00,5.64,2023-08-09 23:01:24.000000000,Weather,2961,Ice
14,Rural North,2024-09-26 09:19:00,1.22,2024-09-26 10:32:12.000000000,Weather,279,Clear
15,Montgomery,2023-11-19 16:08:00,1.53,2023-11-19 17:39:48.000000000,Weather,937,Storm
16,Huntsville,2023-01-03 19:13:00,1.65,2023-01-03 20:52:00.000000000,Maintenance,73,Heavy Rain
17,Rural South,2024-11-24 21:56:00,2.95,2024-11-25 00:53:00.000000000,Equipment Failure,4565,Clear
18,Rural South,2023-07-25 19:15:00,1.01,2023-07-25 20:15:36.000000000,Weather,1052,Clear
19,Montgomery,2023-02-09 05:55:00,10.45,2023-02-09 16:22:00.000000000,Weather,4198,Heavy Rain
20,Huntsville,2023-02-28 17:57:00,2.81,2023-02-28 20:45:36.000000000,Equipment Failure,4878,Ice
21,Rural North,2024-07-27 14:49:00,1.53,2024-07-27 16:20:48.000000000,Maintenance,819,Ice
22,Birmingham,2024-10-05 13:12:00,3.11,2024-10-05 16:18:36.000000000,Maintenance,2051,Clear
23,Huntsville,2024-05-21 23:30:00,1.51,2024-05-22 01:00:36.000000000,Weather,3098,Heavy Rain
24,Montgomery,2024-07-25 04:24:00,5.11,2024-07-25 09:30:36.000000000,Equipment Failure,1656,Heatwave
25,Rural South,2023-05-02 16:21:00,2.52,2023-05-02 18:52:12.000000000,Wildlife,4945,Clear
26,Rural North,2024-04-23 20:38:00,0.13,2024-04-23 20:45:48.000000000,Weather,497,Heavy Rain
