Date,Region,Temperature_Max_F,Temperature_Min_F,Precipitation_Inches,Wind_Speed_Max_MPH,Storm_Flag,Heatwave_Flag,Freeze_Flag
2023-01-01,Birmingham,44.2,30.8,0.18,13.2,0,0,1
2023-01-01,Montgomery,74.6,56.7,0.13,7.1,0,0,0
2023-01-01,Mobile,71.3,58.7,0.21,9.0,0,0,0
2023-01-01,Huntsville,101.3,92.1,0.01,11.6,0,1,0
2023-01-01,Rural North,58.1,50.4,0.21,12.2,0,0,0
2023-01-01,Rural South,97.3,80.8,0.12,10.6,0,1,0
2023-01-02,Birmingham,58.0,42.9,0.47,12.2,0,0,0
2023-01-02,Montgomery,71.8,63.5,0.25,21.0,0,0,0
2023-01-02,Mobile,70.5,55.4,0.13,0.9,0,0,0
2023-01-02,Huntsville,58.7,41.5,0.03,11.6,0,0,0
2023-01-02,Rural North,85.6,79.5,0.04,10.9,0,0,0
2023-01-02,Rural South,58.5,44.1,0.01,5.8,0,0,0
2023-01-03,Birmingham,100.3,94.7,0.09,20.8,0,1,0
2023-01-03,Montgomery,82.2,73.4,0.0,11.4,0,0,0
2023-01-03,Mobile,107.8,101.2,0.01,2.8,0,1,0
2023-01-03,Huntsville,90.6,74.9,0.09,15.8,0,0,0
2023-01-03,Rural North,64.9,46.3,0.09,2.6,0,0,0
2023-01-03,Rural South,51.4,35.5,0.01,1.3,0,0,0
2023-01-04,Birmingham,96.1,78.0,0.27,9.2,0,1,0
2023-01-04,Montgomery,58.0,51.6,0.13,7.1,0,0,0
2023-01-04,Mobile,74.1,61.4,0.08,14.6,0,0,0
2023-01-04,Huntsville,64.3,48.9,0.01,8.6,0,0,0
2023-01-04,Rural North,78.9,69.8,0.18,11.5,0,0,0
2023-01-04,Rural South,74.8,63.6,0.08,6.1,0,0,0
2023-01-05,Birmingham,95.3,77.9,0.66,8.7,0,1,0
2023-01-05,Montgomery,87.7,72.3,0.04,12.2,0,0,0
2023-01-05,Mobile,63.4,57.1,0.04,13.6,0,0,0
2023-01-05,Huntsville,71.1,65.0,0.18,3.3,0,0,0
2023-01-05,Rural North,89.4,71.9,0.78,13.6,0,0,0
2023-01-05,Rural South,35.2,20.6,0.06,27.2,1,0,1
2023-01-06,Birmingham,73.2,53.9,0.03,11.7,0,0,0
2023-01-06,Montgomery,70.6,56.1,0.08,17.4,0,0,0
2023-01-06,Mobile,51.3,36.9,0.06,10.5,0,0,0
